date,yhat_ridge,naive7
2023-01-01,10353.320617816276,10103.09
2023-01-02,8711.246302387703,9495.5
2023-01-03,8772.353298875685,7811.400000000001
2023-01-04,8808.543281207007,8840.71
2023-01-05,8768.110053726436,7323.33
2023-01-06,8778.3450751358,9414.84
2023-01-07,10316.24892310387,11344.11
2023-01-08,10238.79034093555,
2023-01-09,8685.906046974462,
2023-01-10,8635.612047889026,
2023-01-11,8652.831100078038,
2023-01-12,8635.085717571455,
2023-01-13,8679.685175988456,
2023-01-14,10213.898428895998,
2023-01-15,10183.674294106819,
2023-01-16,8492.148689602684,
2023-01-17,8565.058059542993,
2023-01-18,8559.006577598877,
2023-01-19,8531.4107547477,
2023-01-20,8508.582321403257,
2023-01-21,10040.75710874547,
2023-01-22,10024.444053537627,
2023-01-23,8460.372271610151,
2023-01-24,8419.525068392923,
2023-01-25,8413.550017007383,
2023-01-26,8396.0178587298,
2023-01-27,8392.815998950213,
2023-01-28,9918.935124750657,
